DSL,API,Attempts
Trains Failed,Trains Failed,Trains Failed
"method[final] should haveFullName ""specified string"";","methods().that().haveModifier(JavaModifier.FINAL).should().haveFullName(""specified string"")",0
"method [packagePrivate] should haveNameEndingWith ""specified string"";","methods().that().arePackagePrivate().should().haveNameEndingWith(""specified string"")",0
"method[public (haveNameMatching ""get"")] should haveNameMatching ""specified string"";","methods().that().arePublic().and().haveNameMatching(""get"").should().haveNameMatching(""specified string"")",0
"method [private final] should haveRawReturnType ""specifiedType"";","methods().that().arePrivate().and().haveModifier(JavaModifier.FINAL).should().haveRawReturnType(""specifiedType"")",0
"method [public static (packagename ""specifiedPackage"")] should haveParameterTypes ""specifiedType"";","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().haveRawParameterTypes(""specifiedType"")",0
method[public static (haveNameMatching â€œString1â€?] should haveFullNameMatching â€œString2â€?,"methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().haveNameMatching(""String1"").should().haveFullNameMatching(""String2"")",0
method[protected final (haveNameMatching â€œString1â€?] should haveNameContaining â€œString2â€?,"methods().that().areProtected().and().haveModifier(JavaModifier.FINAL).and().haveNameMatching(""String1"").should().haveNameContaining(""String2"")",0
method [static] should BePublic;,methods().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
method[final] should BeStatic;,methods().that().haveModifier(JavaModifier.FINAL).should().beStatic(),0
method [private] should BeProtected;,methods().that().arePrivate().should().beProtected(),0
method[public (packagename â€œspecifiedPackageâ€?] should BePackagePrivate;,"methods().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePackagePrivate()",0
"method [(haveNameMatching ""get"")] should BePublic;","methods().that().haveNameMatching(""get"").should().bePublic()",0
